Gene	HT29-CoCl2-1_S1	HT29-CoCl2-2_S13	HT29-CoCl2-3_S6	HT29-Ctrl-1_S11	HT29-Ctrl-2_S7	HT29-Ctrl-3_S15
CELA3A	0	0	0	1	2	4
RN7SL186P	0	0	0	0	0	0
RNU6-776P	0	0	0	0	0	0
LINC01635	0	0	0	1	0	1
LINC00339	6	18	5	58	66	97
CDC42	3861	4434	3549	3013	3582	4985
CDC42-AS1	1	4	1	19	17	19
AL031281.1	0	0	0	0	0	0
CDC42-IT1	1	1	1	1	0	3
MPHOSPH6P1	1	1	0	0	1	0
WNT4	10	8	10	16	12	33
AL445253.1	5	6	3	5	4	7
MIR4418	0	0	0	0	0	0
PPIAP34	1	2	1	0	0	2
AL591122.1	0	0	0	0	0	0
ZBTB40	2201	2399	2039	775	863	1215
ZBTB40-IT1	20	31	19	6	3	4
EPHA8	1	0	0	2	0	0
MIR6127	0	0	0	0	0	0
C1QA	0	0	0	0	0	0
C1QC	0	0	0	0	0	0
C1QB	0	0	0	0	0	0
EPHB2	18	14	10	46	34	76
MIR4684	1	0	0	0	0	0
AL512444.1	0	0	0	0	0	1
MIR4253	0	0	0	0	0	0
LACTBL1	0	0	0	0	0	0
TEX46	0	0	0	0	0	0
KDM1A	3724	3681	3440	2163	2355	3328
AL031428.1	0	0	0	0	0	0
MIR3115	0	0	0	0	0	0
AL031428.2	0	0	0	0	0	0
LUZP1	2152	2239	1906	1730	2180	3223
AL161672.1	0	1	0	0	0	2
RNU6-514P	0	0	0	1	0	0
RNU6-135P	0	0	0	1	0	0
HTR1D	57	53	48	89	103	136
AL109936.2	0	0	0	0	0	0
LINC01355	73	80	49	169	187	266
AL109936.8	5	5	0	9	8	7
HNRNPR	1829	2096	1738	3547	4205	5493
ZNF436	613	635	568	408	438	643
ZNF436-AS1	18	16	15	53	50	70
AL109936.1	0	0	0	0	0	0
AL109936.3	1	2	0	1	1	4
TCEA3	147	146	120	256	391	462
AL357134.1	0	0	0	0	0	0
ASAP3	154	158	114	94	117	175
E2F2	34	34	28	92	103	149
AL021154.1	0	0	0	0	0	0
ID3	2	1	4	3	3	3
AL450043.1	0	0	0	0	0	0
MDS2	0	0	0	0	0	0
AL451000.1	0	0	0	0	0	0
RPL11	18713	20917	18153	13758	17083	22064
ELOA-AS1	4	6	8	6	7	11
ELOA	881	977	817	1039	1227	1888
PITHD1	2392	2622	2287	875	1014	1482
LYPLA2	1277	1251	1075	1098	1402	2181
GALE	3337	3239	2878	1601	2102	3528
HMGCL	633	700	591	633	805	1245
FUCA1	532	621	483	770	894	1250
CNR2	0	0	0	0	0	1
BTBD6P1	0	0	0	0	1	0
AL590609.2	0	0	0	0	0	0
MIR378F	0	0	0	0	0	0
H3P1	0	0	1	1	1	0
PNRC2	1872	2121	1668	2748	3304	4380
SRSF10	2762	3348	2611	4530	5439	7580
AL590609.1	0	0	0	0	0	0
AL591178.1	0	0	0	6	9	17
MYOM3	554	509	487	1731	2014	2952
MYOM3-AS1	0	0	0	1	1	0
IL22RA1	361	404	331	733	997	1281
IFNLR1	44	50	33	94	118	171
LINC02800	0	0	0	2	2	1
GRHL3-AS1	0	1	1	7	5	9
GRHL3	211	183	164	99	109	155
STPG1	159	120	116	240	287	468
NIPAL3	1821	1917	1674	1025	1182	1756
RCAN3AS	1	2	1	7	5	8
RCAN3	288	327	219	462	508	633
NCMAP-DT	1	0	1	0	2	2
NCMAP	84	71	75	163	185	283
AL445686.1	0	0	0	1	3	0
AL445686.2	0	0	0	0	1	0
SRRM1	2379	2779	2251	1327	1565	1882
AL445648.1	0	1	0	0	0	0
CLIC4	1859	2424	1808	4044	5718	8121
RNU6-1208P	0	0	0	0	0	0
RUNX3	0	2	0	1	0	0
MIR6731	0	0	0	0	0	0
AL445471.1	0	0	0	0	0	0
AL445471.2	0	0	0	0	0	0
MIR4425	0	0	0	0	0	0
LINC02793	0	0	0	0	0	0
AL050344.1	1	0	0	0	0	0
IFITM3P7	0	0	0	0	0	0
AL031432.1	0	0	0	0	0	0
SYF2	1522	1952	1506	931	1125	1573
AL031432.4	9	5	4	25	32	45
AL031432.5	2	0	3	1	4	2
RSRP1	2729	3023	2423	1481	1797	2401
AL031432.3	3	2	4	2	0	3
AL031432.2	0	1	2	2	1	1
RHD	6	6	1	3	1	1
SDHDP6	0	0	0	0	0	0
AL928711.1	1	1	1	4	2	0
TMEM50A	1643	1741	1411	1146	1388	2122
RHCE	3	2	7	2	2	6
AL031284.1	0	2	2	2	3	4
MACO1	1743	1845	1526	606	680	1030
LDLRAP1	252	250	190	359	444	563
AL606491.1	1	1	0	2	0	0
MAN1C1	0	2	0	5	1	2
AL031280.1	0	0	0	0	0	0
SELENON	25	16	13	89	110	161
AL020996.2	0	0	0	0	0	0
AL020996.1	1	0	0	5	2	9
MTFR1L	277	289	224	301	319	478
AL020996.3	0	0	0	0	0	0
AUNIP	68	71	77	318	401	540
AL033528.3	0	1	1	0	1	0
PAQR7	59	74	57	135	128	180
AL033528.1	0	0	0	0	0	0
STMN1	1185	1267	1191	4122	4933	6888
SNRPFP2	0	0	0	0	0	0
AL033528.2	0	0	0	2	0	1
MIR3917	0	0	0	0	0	0
PAFAH2	204	181	167	408	498	655
RNU6-110P	0	0	0	0	0	0
AL592064.1	0	0	0	0	0	0
AL592064.2	0	0	0	0	0	0
EXTL1	1	0	1	2	3	5
SLC30A2	2	2	0	25	37	45
AL391650.2	0	0	0	1	1	0
TRIM63	7	1	0	7	3	6
PDIK1L	496	557	452	301	341	507
FAM110D	1	0	0	0	1	1
C1orf232	0	0	0	0	0	0
AL391650.1	2	0	0	1	1	3
ZNF593	0	0	0	0	0	0
CNKSR1	434	415	358	416	544	711
CATSPER4	0	0	0	1	0	0
ZPLD2P	1	0	2	2	2	1
AL355877.2	0	0	0	0	0	0
CEP85	1292	1276	1219	703	761	1078
AL355877.1	4	0	1	2	1	1
SH3BGRL3	3632	3729	3072	1741	2075	2651
UBXN11	196	173	163	401	476	669
CD52	4	3	2	7	6	7
CRYBG2	916	869	788	447	523	804
AL451139.1	0	4	2	0	6	9
ZNF683	0	0	0	0	0	0
LIN28A	0	0	0	0	0	0
DHDDS	985	1015	851	459	590	827
AL513365.1	0	1	0	2	4	4
DHDDS-AS1	1	1	2	12	16	18
HMGN2	1626	1704	1595	2851	3354	5066
DPPA2P2	0	0	0	0	0	0
RPS6KA1	1632	1550	1268	937	1067	1740
MIR1976	0	0	0	0	0	0
RN7SL679P	0	0	0	0	0	0
AL627313.2	0	0	0	0	0	0
RNU7-29P	0	0	0	0	0	0
AL627313.1	0	0	0	0	0	0
AL627082.2	0	0	0	0	0	0
AL627082.1	0	0	0	0	0	0
AL512408.1	0	0	3	11	12	15
ARID1A	1460	1671	1418	2760	3288	4751
PIGV	145	171	124	499	572	854
RN7SL165P	1	0	1	0	0	0
AL034380.2	0	0	0	0	0	0
ZDHHC18	1285	1286	1063	585	756	1068
SFN	2434	2318	2030	515	643	948
GPN2	496	569	477	534	627	868
AL034380.1	0	0	0	0	0	0
GPATCH3	554	568	470	132	148	201
NUDC	1298	1429	1169	1356	1467	1951
NR0B2	25	19	12	62	72	107
KDF1	298	315	271	279	342	515
RPL12P13	2	1	3	1	2	3
AL356390.1	0	0	0	1	0	5
OSTCP2	0	0	0	3	0	1
TRNP1	828	849	748	1999	2590	3563
TENT5B	5	1	8	7	7	7
SLC9A1	714	798	659	708	774	1271
AL590640.2	0	0	0	0	0	0
CHCHD3P3	7	5	7	5	3	6
NPM1P39	6	7	10	6	3	10
SNRPEP7	0	0	0	0	0	0
AL590640.1	0	0	0	0	0	0
WDTC1	931	951	766	777	921	1248
AL590640.3	0	0	0	0	0	0
FO393419.3	0	0	1	0	1	0
TMEM222	473	518	442	518	614	959
RNU6-48P	0	2	4	1	0	0
ACTG1P20	6	16	5	9	10	22
SYTL1	390	393	340	559	677	1075
MAP3K6	78	79	85	124	151	211
FCN3	0	0	0	0	0	2
CD164L2	1	0	0	3	3	6
FO393419.1	0	0	0	0	0	0
GPR3	6	5	5	11	13	17
WASF2	6607	7551	6112	3784	4826	6734
FO393419.2	0	0	0	0	1	0
BX293535.1	0	0	1	0	3	4
AHDC1	1023	989	855	447	552	748
FGR	0	1	0	0	0	0
AL031729.1	4	4	3	3	6	6
LINC02574	0	0	0	0	0	0
IFI6	811	1475	946	472	800	842
AL445490.1	14	23	12	5	13	19
RNU6-949P	0	0	0	0	0	0
CHMP1AP1	0	0	0	0	0	0
RNU6-424P	0	0	0	0	0	0
AL020997.5	0	0	0	1	0	0
FAM76A	84	118	130	130	135	218
AL020997.1	1	0	0	2	4	6
RPEP3	0	0	0	0	0	0
STX12	1082	1207	970	682	789	1102
AL020997.2	1	1	2	1	0	0
AL020997.3	1	0	0	3	0	0
RNU6-1245P	0	0	0	0	0	0
AL020997.4	0	0	0	0	0	0
PPP1R8	744	778	694	770	978	1296
SCARNA1	0	0	0	0	0	1
THEMIS2	0	1	1	4	2	2
RPA2	625	608	520	652	815	1262
SMPDL3B	94	87	81	186	254	324
AL512288.1	0	0	0	1	2	0
XKR8	63	80	59	81	71	141
EYA3	1239	1377	1093	490	609	846
AL512288.2	3	5	3	0	0	0
RN7SL559P	2	2	1	1	2	0
SPCS2P4	5	11	10	6	16	24
AL137792.2	0	0	0	0	0	0
AL137792.1	0	0	0	0	0	1
RNU6-176P	0	0	0	0	0	0
PTAFR	98	96	70	32	32	36
DNAJC8	1606	1760	1525	1107	1409	1916
ATP5IF1	996	1129	878	1684	1971	2670
AL353622.1	7	7	9	75	88	85
AL353622.2	0	0	0	2	2	0
SESN2	3445	3601	2909	1686	2158	3317
MED18	237	286	283	215	266	371
PHACTR4	1063	1150	959	1383	1606	2203
CR589951.1	0	0	0	0	0	0
CR391992.1	0	0	0	0	1	0
RNU6ATAC27P	1	1	0	0	0	0
RCC1	1194	1134	1080	2079	2505	3644
SNHG3	403	401	352	1195	1311	2027
SNORA73A	0	0	0	0	0	0
SNORA73B	5	3	2	12	15	22
PRDX3P2	0	1	1	6	4	11
AL513497.1	4	2	0	7	8	15
TRNAU1AP	432	442	393	308	393	589
SNHG12	305	336	289	265	338	483
SNORD99	15	13	9	5	11	18
SNORA61	0	0	0	0	0	0
SNORA44	0	0	0	0	0	0
SNORA16A	0	0	0	0	0	0
TAF12	280	357	280	447	557	690
RAB42	4	5	2	2	7	6
LINC01715	0	0	0	3	4	6
AL360012.1	0	0	0	0	0	0
RNU11	0	0	0	0	0	0
GMEB1	206	233	202	320	349	482
AL645729.1	0	1	0	0	0	0
YTHDF2	1393	1581	1335	1114	1240	1825
OPRD1	1	0	0	3	0	4
AL009181.2	0	0	0	0	0	0
AL009181.1	0	0	0	0	0	0
EPB41	4406	5075	4155	1496	1734	2527
AL138785.2	2	0	0	2	0	6
AL138785.1	0	0	0	0	0	0
AL138785.3	0	0	0	0	0	0
TMEM200B	0	0	1	1	2	0
AL357500.1	0	0	0	0	0	0
SRSF4	1728	1973	1622	1051	1250	1724
AL357500.2	0	0	0	0	0	0
MECR	90	111	85	295	397	562
AL590729.1	0	0	1	2	8	8
PTPRU	3	6	4	6	1	7
LINC01756	0	0	0	0	0	0
AL671862.1	0	0	0	0	0	0
AC092265.1	0	0	0	0	0	0
AL645944.2	0	0	0	0	0	0
AL645944.1	0	0	0	0	0	0
LINC01648	0	0	0	0	0	0
AL137076.1	0	0	0	0	0	0
AL021921.1	0	0	0	0	0	0
AL161638.2	0	0	0	0	0	0
AL161638.1	0	0	0	0	0	0
MATN1	2	0	3	4	0	1
MATN1-AS1	12	11	5	29	21	28
AL137857.1	0	0	0	0	0	0
LAPTM5	2	1	5	8	15	14
MIR4420	0	0	0	0	0	0
AL137027.1	0	1	0	0	0	1
LINC01778	0	1	4	5	3	9
RN7SKP91	0	0	0	0	0	0
AL445235.1	0	0	0	0	0	0
SDC3	31	26	25	88	150	176
RN7SL371P	0	0	0	0	0	0
PUM1	3187	3473	2724	2022	2370	3540
AL356320.2	0	0	0	0	1	0
AL356320.1	0	0	0	0	0	0
SELENOWP1	0	1	1	0	0	1
AC114495.1	1	1	1	0	0	0
NKAIN1	0	1	0	1	0	0
SNRNP40	1037	1094	872	866	1061	1638
AC114495.2	21	15	16	3	4	6
ZCCHC17	949	968	790	379	472	688
AL451070.1	0	1	0	0	0	0
FABP3	23	23	23	29	23	31
SERINC2	2022	1995	1688	1077	1322	1791
AC209007.1	0	1	3	1	2	0
RNU6-40P	0	0	0	0	0	0
LDC1P	1	0	0	0	0	0
AC209007.2	0	0	0	0	0	0
LINC01226	2	3	1	17	13	41
AC114488.1	29	34	23	73	95	114
TINAGL1	6608	6815	5873	2691	3306	4917
HCRTR1	0	0	0	0	1	2
PEF1	1221	1216	1125	841	1098	1730
PEF1-AS1	21	23	14	3	8	10
AC114488.2	2	0	1	1	0	0
COL16A1	495	567	447	401	549	723
ADGRB2	37	45	38	37	58	84
MIR4254	0	0	0	0	0	0
AL354919.2	0	0	0	0	0	1
SPOCD1	1	0	1	0	6	8
AL354919.1	2	0	0	0	0	0
AL136115.2	1	2	0	1	1	0
PTP4A2	5320	5915	4795	3884	4660	6775
AL136115.1	4	4	2	2	3	1
AL136115.3	0	0	0	0	0	0
KHDRBS1	3236	3401	2944	3418	3814	5990
AL445248.1	3	4	1	0	0	2
TMEM39B	187	187	165	241	276	379
MIR5585	0	0	0	0	0	0
AL445248.2	0	0	0	0	0	0
KPNA6	2126	2202	1858	1260	1503	2178
AL049795.2	0	0	0	0	0	0
TXLNA	1959	2046	1687	1651	1933	3031
CCDC28B	8	18	20	57	55	84
AL049795.1	0	2	0	2	3	4
IQCC	15	16	14	68	64	100
DCDC2B	2	2	1	7	12	8
TMEM234	67	56	64	149	160	264
EIF3I	4736	4949	4055	2377	2900	4504
MTMR9LP	28	27	15	94	101	150
FAM167B	2	1	0	6	15	6
LCK	5	3	4	7	7	15
AL121991.1	1	0	0	0	0	0
AL109945.2	0	0	0	0	0	0
HDAC1	4125	4597	3863	3981	4845	7460
MARCKSL1	2437	2269	2104	5635	6940	9971
AL109945.1	0	2	0	2	1	6
TSSK3	2	5	2	6	6	7
FAM229A	123	102	90	60	64	84
BSDC1	4278	4554	3806	1706	2275	3293
GAPDHP20	1	0	0	0	0	1
AL356986.1	0	0	0	0	0	0
LRRC37A12P	0	0	0	0	0	0
RN7SL122P	0	0	0	0	0	0
AL033529.1	0	0	0	0	0	0
ZBTB8B	0	0	0	0	1	0
ZBTB8A	30	35	33	73	66	68
ZBTB8OS	330	369	329	309	335	535
AC114489.1	2	2	0	0	0	0
RBBP4	1281	1444	1221	2202	2561	3770
SYNC	0	0	3	1	4	2
AC114489.2	0	0	0	0	2	2
KIAA1522	6293	6222	5186	4097	4904	6733
YARS1	4204	4778	4086	4539	5827	9107
S100PBP	290	337	262	475	586	793
FNDC5	4	1	0	3	2	4
HPCA	9	5	9	18	22	26
TMEM54	1791	1828	1424	1373	1607	2549
AL031602.2	3	1	5	3	3	3
RNF19B	1251	1444	1159	767	967	1499
AL031602.1	0	1	1	0	0	1
AL355864.1	0	0	0	0	1	0
AL355864.2	1	0	0	0	0	0
AL020995.1	1	1	0	2	2	1
AK2	3007	3219	2674	3490	4569	6355
AL020995.2	0	0	0	1	0	1
AZIN2	7	5	9	9	12	10
AL662907.1	4	6	4	1	2	3
TRIM62	172	178	129	87	100	135
AL662907.2	15	22	8	5	9	11
AL662907.3	0	0	0	0	0	0
ZNF362	16	21	12	74	87	87
AL513327.2	0	1	0	2	2	5
A3GALT2	0	1	0	4	1	2
AL513327.1	103	111	94	117	155	187
PHC2	2140	2113	1754	2993	3832	5767
MIR3605	2	9	6	3	6	2
RN7SKP16	6	18	10	11	20	19
PHC2-AS1	2	1	2	1	2	10
TLR12P	0	0	0	0	0	0
ZSCAN20	152	144	168	120	150	246
AC115285.1	1	0	2	0	0	0
CSMD2	3	0	1	0	0	2
HSPD1P14	0	0	0	0	0	0
HMGB4	0	0	0	0	0	0
CSMD2-AS1	0	0	0	0	0	0
RNA5SP42	0	0	0	0	0	0
C1orf94	0	0	0	0	0	0
AC115286.1	0	0	0	0	0	0
AC099565.1	0	0	0	9	10	5
MIR552	0	0	0	0	0	0
SMIM12	240	258	221	320	433	607
GJB5	0	0	1	0	3	3
GJB4	17	17	10	12	8	13
AL121988.1	0	0	0	0	0	0
GJB3	460	453	367	316	376	595
GJA4	0	0	0	2	1	1
AL122010.1	0	0	0	0	0	0
DLGAP3	1	0	0	0	0	0
AC114490.3	3	2	1	6	7	8
AC114490.1	4	2	0	3	1	5
AC114490.2	0	0	0	0	0	0
TMEM35B	0	0	0	0	0	0
ZMYM6	110	161	112	112	157	189
ZMYM1	188	211	146	276	310	425
RPL12P45	0	0	0	0	0	0
EFCAB14P1	6	3	5	4	5	4
AL590434.2	0	1	0	0	0	0
SFPQ	5038	5532	4409	5856	7002	10039
AL590434.1	0	0	0	0	0	0
ZMYM4	1350	1449	1204	1929	2217	3162
RN7SL503P	0	0	0	0	0	0
AL160000.1	0	0	0	1	0	0
RPL5P4	5	7	1	4	5	6
ZMYM4-AS1	2	3	1	0	0	0
AL356362.1	0	0	0	0	0	0
KIAA0319L	1527	1760	1406	1811	2134	3271
AC004865.1	0	0	0	0	0	0
NCDN	203	200	141	601	722	1016
AC004865.2	13	19	14	2	0	2
TFAP2E	41	36	37	7	7	3
PSMB2	12347	13805	11246	1988	2545	3619
C1orf216	405	429	319	263	264	415
CLSPN	196	208	192	377	540	764
AL354864.1	0	0	0	0	1	0
AGO4	760	855	701	581	702	974
AGO1	559	484	460	730	840	1134
CFAP97P1	0	0	0	0	0	0
AL139286.2	0	0	0	0	1	1
AL139286.1	0	0	0	0	0	0
AGO3	598	727	556	470	571	795
AL138787.2	1	1	0	1	2	1
AL138787.1	0	0	0	0	0	1
TEKT2	1	0	1	0	0	1
ADPRS	592	615	570	297	359	589
COL8A2	2	0	1	0	0	2
TRAPPC3	1214	1217	1026	770	866	1333
MAP7D1	1643	1581	1339	534	791	995
RN7SL131P	0	0	0	0	0	0
THRAP3	3272	3422	2955	2602	2977	3871
UBE2V2P4	0	0	0	0	0	0
SH3D21	1005	942	828	551	642	769
EVA1B	0	0	0	0	0	0
AL591845.1	11	6	7	6	10	11
STK40	3758	3654	3051	1135	1501	2242
LSM10	338	320	289	254	315	474
RNU4-27P	0	0	0	0	0	0
OSCP1	33	42	36	79	96	150
SNORA63C	1	0	0	0	1	3
MRPS15	1241	1370	1137	1047	1205	1641
CSF3R	0	0	1	0	0	0
FTLP18	0	0	0	0	0	0
AL596257.1	0	0	0	0	0	0
AC117945.2	0	0	0	0	0	0
AC117945.1	0	0	0	0	0	0
GRIK3	0	0	0	0	0	0
AL031430.1	0	0	0	0	0	0
AL353604.1	0	0	0	0	0	0
MIR4255	0	0	0	0	0	0
RNU6-636P	0	0	0	0	0	0
RNA5SP43	0	0	0	0	0	0
RPS29P6	0	0	0	0	0	0
LINC01137	19	17	22	57	50	80
ZC3H12A	753	723	567	389	541	731
MIR6732	0	0	0	0	0	0
MEAF6	521	561	501	685	825	1299
MIR5581	1	3	0	7	5	1
SNIP1	701	747	595	293	335	448
FTH1P1	2	1	4	0	0	0
AL034379.1	0	1	0	1	2	0
DNALI1	14	10	8	26	28	52
GNL2	1088	1190	1044	1317	1640	2319
AL513220.1	0	0	0	0	0	0
RSPO1	0	0	0	0	0	0
C1orf109	198	195	175	423	482	737
CDCA8	488	491	398	1031	1173	1700
EPHA10	64	39	51	78	99	147
AC104336.1	0	0	0	0	0	0
ACTN4P2	0	0	0	0	0	0
AL929472.1	0	0	0	0	0	0
MANEAL	53	47	43	110	138	176
AL929472.3	0	0	0	0	0	0
YRDC	361	326	302	322	360	706
C1orf122	196	216	181	250	267	476
MTF1	1343	1390	1189	697	760	1267
AL929472.4	0	0	1	0	0	0
AL929472.2	0	0	0	0	0	0
INPP5B	353	444	322	425	470	728
AL929472.5	0	5	1	1	2	1
RNU6-584P	0	1	0	0	0	1
AL603790.1	0	0	0	0	0	0
SF3A3	1053	1240	1088	1742	2067	3054
RNU6-510P	0	2	2	2	2	2
FHL3	101	110	82	148	168	247
UTP11	665	739	667	459	565	759
POU3F1	8	10	4	11	13	20
MIR3659HG	1	1	0	5	6	9
AL139158.1	0	0	0	0	0	0
MIR3659	0	0	0	0	0	0
LINC02786	0	0	0	0	0	0
AL390839.1	0	0	0	0	0	0
AL390839.2	0	0	0	0	0	1
LINC01343	0	0	0	0	0	0
AL513479.1	0	0	0	0	0	0
RNU6-753P	0	0	0	0	0	0
LINC01685	0	0	0	0	0	0
HSPA5P1	17	22	19	7	4	16
AL354702.1	0	0	0	0	0	0
RRAGC	800	948	730	147	177	267
AL139260.2	0	0	0	0	0	0
AL139260.1	2	7	4	4	7	6
MYCBP	214	247	229	378	435	609
AL139260.3	0	1	0	1	1	1
GJA9	0	0	0	0	0	0
RHBDL2	96	124	111	218	210	329
RNU6-605P	0	0	0	0	0	0
AL714019.1	0	0	0	0	0	0
EIF1P2	1	0	0	0	0	0
AKIRIN1	2562	2718	2261	1937	2328	3345
NDUFS5	1619	1799	1469	1256	1465	2209
MACF1	8118	9010	7421	4854	5700	8463
RNU6-608P	0	0	0	0	0	0
RNA5SP44	0	0	0	0	0	0
AL442071.2	0	0	0	0	0	0
AL442071.1	0	0	1	0	0	0
HSPE1P8	0	0	1	0	0	1
BMP8A	12	9	5	20	28	50
OXCT2P1	0	0	0	0	0	0
PPIEL	8	13	10	29	33	43
PABPC4	1414	1503	1303	1907	2134	3154
PABPC4-AS1	11	26	25	12	26	33
SNORA55	3	3	6	0	3	7
HEYL	1	0	0	3	14	7
AL035404.2	0	0	0	0	0	0
NT5C1A	0	0	0	0	0	0
HPCAL4	1	0	0	1	0	1
PPIE	576	667	603	838	987	1545
AL035404.1	0	0	0	0	0	0
RNU7-121P	0	0	0	0	0	0
BMP8B	32	39	27	50	71	91
OXCT2	1	0	0	4	5	2
BMP8B-AS1	1	1	0	0	1	1
AL033527.3	0	0	1	5	7	4
AL033527.2	0	0	0	0	0	0
AL033527.4	3	0	0	8	11	16
LINC02811	0	0	0	1	0	0
TRIT1	406	455	375	457	515	837
AL033527.1	0	0	0	0	0	0
MYCL	35	21	30	221	264	337
MYCL-AS1	0	0	1	0	0	2
AL663070.1	0	0	0	0	0	0
MFSD2A	50	52	48	56	67	125
AL663070.2	9	6	1	3	4	4
CAP1	2849	3139	2744	2231	2685	3615
PPT1	1533	1721	1479	2482	2988	4324
OAZ1P1	0	1	0	0	0	0
RLF	3486	4165	3471	592	701	1209
RNU6-1237P	0	0	0	0	0	0
TMCO2	1	1	0	0	0	0
AL050341.2	57	63	48	132	147	200
ZMPSTE24	628	757	599	1170	1300	1954
AL050341.1	0	0	1	3	1	0
COL9A2	1	2	1	3	16	22
AL031985.2	3	1	2	2	2	5
SMAP2	686	732	625	450	569	717
AL031985.1	0	0	0	0	0	0
AL031985.4	0	0	0	1	0	0
ZFP69B	7	4	3	55	48	77
AL031985.3	2	2	5	28	34	40
AL603839.4	0	2	0	1	1	0
ZFP69	3	2	1	20	27	51
AL603839.3	0	1	0	9	11	7
EXO5	20	18	11	93	109	147
AL603839.1	0	0	0	0	0	0
AL603839.2	0	1	0	3	7	0
ZNF684	5	17	4	23	48	49
AL356379.2	0	0	0	1	0	0
AL356379.1	0	0	0	0	0	0
GTF2F2P2	0	0	0	0	0	0
RIMS3	18	9	14	5	8	7
AL031289.2	0	0	1	0	0	0
AL031289.1	1	3	2	2	2	6
NFYC-AS1	26	24	13	50	41	62
NFYC	716	723	586	783	1039	1504
MIR30E	0	0	0	0	0	0
MIR30C1	0	0	0	0	0	0
KCNQ4	11	19	11	34	48	69
RN7SL326P	0	0	0	0	0	0
CITED4	3	5	2	16	27	23
AC119677.1	0	0	0	0	0	0
AL391730.1	0	0	0	0	0	0
AL391730.2	0	0	0	0	0	1
UBE2V1P8	0	0	0	0	0	0
CTPS1	495	517	466	928	1107	1718
SLFNL1-AS1	1	5	4	17	28	20
SLFNL1	1	1	0	9	10	8
SCMH1	397	419	381	654	823	1137
RPL23AP17	0	0	1	2	0	1
AC093151.7	0	0	0	0	1	0
AC093151.2	0	0	0	1	2	3
AC093151.1	0	0	0	0	0	0
AC093151.5	0	0	1	6	8	7
FOXO6	3	3	3	16	12	17
FOXO6-AS1	0	0	0	1	2	5
RNA5SP45	0	0	0	0	0	0
EDN2	7	0	3	1	0	1
HIVEP3	17	12	11	48	51	98
AL445933.2	0	0	0	0	0	0
AL445933.1	1	2	1	5	11	8
AC119676.1	0	0	0	0	0	0
AL158216.1	0	0	0	1	0	0
HNRNPFP1	0	0	0	0	0	0
AC114492.1	0	0	0	0	0	0
GUCA2B	1	1	0	3	5	13
GUCA2A	1	1	0	7	16	8
FOXJ3	2162	2453	1868	1645	1734	2553
AC096540.1	0	0	0	1	2	3
RIMKLA	1521	1558	1348	173	206	273
AL513331.1	6	4	5	1	0	0
ZMYND12	1	3	4	14	14	21
PPCS	361	430	364	925	1026	1416
CCDC30	13	18	18	46	72	58
RPS3AP11	0	0	0	1	0	0
TMSB4XP1	0	0	1	0	0	1
RNU6-536P	0	0	0	0	0	0
AL445669.1	0	0	0	0	0	0
PPIH	285	266	274	323	395	517
AC098484.4	83	90	79	94	109	114
AC098484.2	0	2	1	1	2	1
YBX1	7593	7830	6705	7073	8618	10551
CLDN19	0	0	3	0	0	1
P3H1	201	244	175	221	286	400
C1orf50	69	58	63	85	76	144
AC098484.3	0	0	0	0	0	0
AC098484.1	0	0	0	0	0	0
TMEM269	6	7	3	6	5	9
SVBP	145	163	129	180	224	364
ERMAP	181	188	166	335	363	544
AL512353.1	1	3	2	5	7	11
ZNF691	43	54	41	109	132	164
AL512353.2	2	3	3	1	1	1
AL512353.3	1	3	0	1	0	3
ATP6V1E1P1	2	4	3	2	1	5
SLC2A1	59769	60253	51087	6831	8898	12878
ATP6V0CP4	24	17	17	1	2	10
SLC2A1-AS1	42	42	45	57	81	101
AC099795.1	50	51	41	5	11	17
RNU6-880P	1	2	0	1	0	0
AL161637.2	0	0	0	0	0	0
AL161637.1	0	0	0	0	0	0
FAM183A	2	6	3	14	17	20
EBNA1BP2	379	439	383	771	956	1424
MIR6733	0	0	0	0	0	0
CFAP57	3	0	0	10	6	10
RNA5SP46	0	0	0	0	0	0
TMEM125	567	667	546	486	590	984
C1orf210	243	234	229	374	413	637
TIE1	0	0	0	1	2	0
MPL	2	4	2	11	14	16
AL139289.2	0	0	0	0	2	1
AL139289.1	4	10	6	23	22	36
CDC20	488	407	422	1356	1593	2392
ELOVL1	2459	2515	2236	1634	2138	3352
MIR6734	0	0	0	0	0	0
MED8	1254	1289	1086	943	1077	1887
MED8-AS1	11	14	15	22	32	46
SZT2	334	332	291	720	770	1085
SZT2-AS1	0	0	0	0	0	0
MIR6735	0	0	0	0	0	0
HYI	0	0	0	0	0	0
HYI-AS1	0	1	1	1	0	3
PTPRF	7600	7982	6939	8996	10550	15118
KDM4A	809	829	686	607	788	1130
AL451062.4	0	0	0	0	0	0
KDM4A-AS1	23	25	23	13	25	43
ST3GAL3	13	26	13	42	51	91
AL451062.1	0	0	0	0	0	0
AL451062.3	0	0	0	0	0	0
AL451062.2	0	0	0	0	0	1
MIR6079	0	0	0	0	0	0
SHMT1P1	0	0	1	0	0	1
ARTN	4	3	2	0	1	4
AL357079.1	31	23	18	23	31	50
AL357079.3	9	6	5	8	8	13
IPO13	831	783	692	316	408	541
AL357079.2	3	2	2	1	2	3
DPH2	228	228	217	497	588	839
ATP6V0B	3532	3615	3061	859	1129	1799
B4GALT2	177	171	173	560	625	932
CCDC24	47	49	40	94	120	184
SLC6A9	73	67	66	393	526	773
AL139220.2	0	0	1	5	9	12
